ProteinA,ProteinB
NONHSAT041063,P78345
NONHSAT041063,P84243
NONHSAT041063,Q01844
NONHSAT041063,Q13285
NONHSAT041063,Q13952
NONHSAT041063,Q15233
NONHSAT041063,Q15287
NONHSAT041063,Q15910
NONHSAT041063,Q4G0J3
NONHSAT041063,Q8IUX4
NONHSAT041063,Q8IYB3
NONHSAT041063,Q8WXF1
NONHSAT041063,Q92994
NONHSAT041063,Q96BK5
NONHSAT041063,Q96PU8
NONHSAT041063,Q99575
NONHSAT041063,Q9H633
NONHSAT041063,Q9HCE1
NONHSAT041063,Q9HCJ0
NONHSAT041063,Q9UKL0
NONHSAT041063,Q9UPQ9
NONHSAT041063,P56178
NONHSAT041063,P08151
NONHSAT041063,Q9H9S0
NONHSAT041063,Q99988
NONHSAT041063,P25490
NONHSAT041063,P49711
NONHSAT041063,P31260
NONHSAT041063,Q00839
NONHSAT041063,P49913
NONHSAT041063,Q15465
NONHSAT041063,P48431
NONHSAT041063,O43184
NONHSAT041063,Q7RTS3
NONHSAT041063,P78509
NONHSAT041141,O15042
NONHSAT041141,O60306
NONHSAT041141,O60341
NONHSAT041141,O95707
NONHSAT041141,P01189
NONHSAT041141,P01344
NONHSAT041141,P04150
NONHSAT041141,P04637
NONHSAT041141,P05455
NONHSAT041141,P07910
NONHSAT041141,P09132
NONHSAT041141,P14210
NONHSAT041141,P14859
NONHSAT041141,P23246
NONHSAT041141,P35453
NONHSAT041141,P55899
NONHSAT041141,P61011
NONHSAT041141,P62140
NONHSAT041141,P78345
NONHSAT041141,P84243
NONHSAT041141,Q01844
NONHSAT041141,Q13285
NONHSAT041141,Q13952
NONHSAT041141,Q15233
NONHSAT041141,Q15287
NONHSAT041141,Q15910
NONHSAT041141,Q4G0J3
NONHSAT041141,Q8IUX4
NONHSAT041141,Q8IYB3
NONHSAT041141,Q8WXF1
NONHSAT041141,Q92994
NONHSAT041141,Q96BK5
NONHSAT041141,Q96PU8
NONHSAT041141,Q99575
NONHSAT041141,Q9H633
NONHSAT041141,Q9HCE1
NONHSAT041141,Q9HCJ0
NONHSAT041141,Q9UKL0
NONHSAT041141,Q9UPQ9
NONHSAT041141,P56178
NONHSAT041141,P08151
NONHSAT041141,Q9H9S0
NONHSAT041141,Q99988
NONHSAT041141,P25490
NONHSAT041141,P49711
NONHSAT041141,P31260
NONHSAT041141,Q00839
NONHSAT041141,P49913
NONHSAT041141,Q15465
NONHSAT041141,P48431
NONHSAT041141,O43184
NONHSAT041141,Q7RTS3
NONHSAT041141,P78509
NONHSAT041381,O15042
NONHSAT041381,O60306
NONHSAT041381,O60341
NONHSAT041381,O95707
NONHSAT041381,P01189
NONHSAT041381,P01344
NONHSAT041381,P04150
NONHSAT041381,P04637
NONHSAT041381,P05455
NONHSAT041381,P07910
NONHSAT041381,P09132
NONHSAT041381,P14210
NONHSAT041381,P14859
NONHSAT041381,P23246
NONHSAT041381,P35453
NONHSAT041381,P55899
NONHSAT041381,P61011
NONHSAT041381,P62140
NONHSAT041381,P78345
NONHSAT041381,P84243
NONHSAT041381,Q01844
NONHSAT041381,Q13285
NONHSAT041381,Q13952
NONHSAT041381,Q15233
NONHSAT041381,Q15287
NONHSAT041381,Q15910
NONHSAT041381,Q4G0J3
NONHSAT041381,Q8IUX4
NONHSAT041381,Q8IYB3
NONHSAT041381,Q8WXF1
NONHSAT041381,Q92994
NONHSAT041381,Q96BK5
NONHSAT041381,Q96PU8
NONHSAT041381,Q99575
NONHSAT041381,Q9H633
NONHSAT041381,Q9HCE1
NONHSAT041381,Q9HCJ0
NONHSAT041381,Q9UKL0
NONHSAT041381,Q9UPQ9
NONHSAT041381,P56178
NONHSAT041381,P08151
NONHSAT041381,Q9H9S0
NONHSAT041381,Q99988
NONHSAT041381,P25490
NONHSAT041381,P49711
NONHSAT041381,P31260
NONHSAT041381,Q00839
NONHSAT041381,P49913
NONHSAT041381,Q15465
NONHSAT041381,P48431
NONHSAT041381,O43184
NONHSAT041381,Q7RTS3
NONHSAT041381,P78509
NONHSAT041505,O15042
NONHSAT041505,O60306
NONHSAT041505,O60341
NONHSAT041505,O95707
NONHSAT041505,P01189
NONHSAT041505,P01344
NONHSAT041505,P04150
NONHSAT041505,P04637
NONHSAT041505,P05455
NONHSAT041505,P07910
NONHSAT041505,P09132
NONHSAT041505,P14210
NONHSAT041505,P14859
NONHSAT041505,P23246
NONHSAT041505,P35453
NONHSAT041505,P55899
NONHSAT041505,P61011
NONHSAT041505,P62140
NONHSAT041505,P78345
NONHSAT041505,P84243
NONHSAT041505,Q01844
NONHSAT041505,Q13285
NONHSAT041505,Q13952
NONHSAT041505,Q15233
NONHSAT041505,Q15287
NONHSAT041505,Q15910
NONHSAT041505,Q4G0J3
NONHSAT041505,Q8IUX4
NONHSAT041505,Q8IYB3
NONHSAT041505,Q8WXF1
NONHSAT041505,Q92994
NONHSAT041505,Q96BK5
NONHSAT041505,Q96PU8
NONHSAT041505,Q99575
NONHSAT041505,Q9H633
NONHSAT041505,Q9HCE1
NONHSAT041505,Q9HCJ0
NONHSAT041505,Q9UKL0
NONHSAT041505,Q9UPQ9
NONHSAT041505,P56178
NONHSAT041505,P08151
NONHSAT041505,Q9H9S0
NONHSAT041505,Q99988
NONHSAT041505,P25490
NONHSAT041505,P49711
NONHSAT041505,P31260
NONHSAT041505,Q00839
NONHSAT041505,P49913
NONHSAT041505,Q15465
NONHSAT041505,P48431
NONHSAT041505,O43184
NONHSAT041505,Q7RTS3
NONHSAT041505,P78509
NONHSAT041714,O15042
NONHSAT041714,O60306
NONHSAT041714,O60341
NONHSAT041714,O95707
NONHSAT041714,P01189
NONHSAT041714,P01344
NONHSAT041714,P04150
NONHSAT041714,P04637
NONHSAT041714,P05455
NONHSAT041714,P07910
NONHSAT041714,P09132
NONHSAT041714,P14210
NONHSAT041714,P14859
NONHSAT041714,P23246
NONHSAT041714,P35453
NONHSAT041714,P55899
NONHSAT041714,P61011
NONHSAT041714,P62140
NONHSAT041714,P78345
NONHSAT041714,P84243
NONHSAT041714,Q01844
NONHSAT041714,Q13285
NONHSAT041714,Q13952
NONHSAT041714,Q15233
NONHSAT041714,Q15287
NONHSAT041714,Q15910
NONHSAT041714,Q4G0J3
NONHSAT041714,Q8IUX4
NONHSAT041714,Q8IYB3
NONHSAT041714,Q8WXF1
NONHSAT041714,Q92994
NONHSAT041714,Q96BK5
NONHSAT041714,Q96PU8
NONHSAT041714,Q99575
NONHSAT041714,Q9H633
NONHSAT041714,Q9HCE1
NONHSAT041714,Q9HCJ0
NONHSAT041714,Q9UKL0
NONHSAT041714,Q9UPQ9
NONHSAT041714,P56178
NONHSAT041714,P08151
NONHSAT041714,Q9H9S0
NONHSAT041714,Q99988
NONHSAT041714,P25490
NONHSAT041714,P49711
NONHSAT041714,P31260
NONHSAT041714,Q00839
NONHSAT041714,P49913
NONHSAT041714,Q15465
NONHSAT041714,P48431
NONHSAT041714,O43184
NONHSAT041714,Q7RTS3
NONHSAT041714,P78509
NONHSAT041826,O15042
NONHSAT041826,O60306
NONHSAT041826,O60341
NONHSAT041826,O95707
NONHSAT041826,P01189
NONHSAT041826,P01344
NONHSAT041826,P04150
NONHSAT041826,P04637
NONHSAT041826,P05455
NONHSAT041826,P07910
NONHSAT041826,P09132
NONHSAT041826,P14210
NONHSAT041826,P14859
NONHSAT041826,P23246
NONHSAT041826,P35453
NONHSAT041826,P55899
NONHSAT041826,P61011
NONHSAT041826,P62140
NONHSAT041826,P78345
NONHSAT041826,P84243
NONHSAT041826,Q01844
NONHSAT041826,Q13285
NONHSAT041826,Q13952
NONHSAT041826,Q15233
NONHSAT041826,Q15287
NONHSAT041826,Q15910
NONHSAT041826,Q4G0J3
NONHSAT041826,Q8IUX4
NONHSAT041826,Q8IYB3
NONHSAT041826,Q8WXF1
NONHSAT041826,Q92994
NONHSAT041826,Q96BK5
NONHSAT041826,Q96PU8
NONHSAT041826,Q99575
NONHSAT041826,Q9H633
NONHSAT041826,Q9HCE1
NONHSAT041826,Q9HCJ0
NONHSAT041826,Q9UKL0
NONHSAT041826,Q9UPQ9
NONHSAT041826,P56178
NONHSAT041826,P08151
NONHSAT041826,Q9H9S0
NONHSAT041826,Q99988
NONHSAT041826,P25490
NONHSAT041826,P49711
NONHSAT041826,P31260
NONHSAT041826,Q00839
NONHSAT041826,P49913
NONHSAT041826,Q15465
NONHSAT041826,P48431
NONHSAT041826,O43184
NONHSAT041826,Q7RTS3
NONHSAT041826,P78509
NONHSAT041921,O15042
NONHSAT041921,O60306
NONHSAT041921,O60341
NONHSAT041921,O95707
NONHSAT041921,P01189
NONHSAT041921,P01344
NONHSAT041921,P04150
NONHSAT041921,P04637
NONHSAT041921,P05455
NONHSAT041921,P07910
NONHSAT041921,P09132
NONHSAT041921,P14210
NONHSAT041921,P14859
NONHSAT041921,P23246
NONHSAT041921,P35453
NONHSAT041921,P55899
NONHSAT041921,P61011
NONHSAT041921,P62140
NONHSAT041921,P78345
NONHSAT041921,P84243
NONHSAT041921,Q01844
NONHSAT041921,Q13285
NONHSAT041921,Q13952
NONHSAT041921,Q15233
NONHSAT041921,Q15287
NONHSAT041921,Q15910
NONHSAT041921,Q4G0J3
NONHSAT041921,Q8IUX4
NONHSAT041921,Q8IYB3
NONHSAT041921,Q8WXF1
NONHSAT041921,Q92994
NONHSAT041921,Q96BK5
NONHSAT041921,Q96PU8
NONHSAT041921,Q99575
NONHSAT041921,Q9H633
NONHSAT041921,Q9HCE1
NONHSAT041921,Q9HCJ0
NONHSAT041921,Q9UKL0
NONHSAT041921,Q9UPQ9
NONHSAT041921,P56178
NONHSAT041921,P08151
NONHSAT041921,Q9H9S0
NONHSAT041921,Q99988
NONHSAT041921,P25490
NONHSAT041921,P49711
NONHSAT041921,P31260
NONHSAT041921,Q00839
NONHSAT041921,P49913
NONHSAT041921,Q15465
NONHSAT041921,P48431
NONHSAT041921,O43184
NONHSAT041921,Q7RTS3
NONHSAT041921,P78509
NONHSAT041927,O15042
NONHSAT041927,O60306
NONHSAT041927,O60341
NONHSAT041927,O95707
NONHSAT041927,P01189
NONHSAT041927,P01344
NONHSAT041927,P04150
NONHSAT041927,P04637
NONHSAT041927,P05455
NONHSAT041927,P07910
NONHSAT041927,P09132
NONHSAT041927,P14210
NONHSAT041927,P14859
NONHSAT041927,P23246
NONHSAT041927,P35453
NONHSAT041927,P55899
NONHSAT041927,P61011
NONHSAT041927,P62140
NONHSAT041927,P78345
NONHSAT041927,P84243
NONHSAT041927,Q01844
NONHSAT041927,Q13285
NONHSAT041927,Q13952
NONHSAT041927,Q15233
NONHSAT041927,Q15287
NONHSAT041927,Q15910
NONHSAT041927,Q4G0J3
NONHSAT041927,Q8IUX4
NONHSAT041927,Q8IYB3
NONHSAT041927,Q8WXF1
NONHSAT041927,Q92994
NONHSAT041927,Q96BK5
NONHSAT041927,Q96PU8
NONHSAT041927,Q99575
NONHSAT041927,Q9H633
NONHSAT041927,Q9HCE1
NONHSAT041927,Q9HCJ0
NONHSAT041927,Q9UKL0
NONHSAT041927,Q9UPQ9
NONHSAT041927,P56178
NONHSAT041927,P08151
NONHSAT041927,Q9H9S0
NONHSAT041927,Q99988
NONHSAT041927,P25490
NONHSAT041927,P49711
NONHSAT041927,P31260
NONHSAT041927,Q00839
NONHSAT041927,P49913
NONHSAT041927,Q15465
NONHSAT041927,P48431
NONHSAT041927,O43184
NONHSAT041927,Q7RTS3
NONHSAT041927,P78509
NONHSAT041930,O15042
NONHSAT041930,O60306
NONHSAT041930,O60341
NONHSAT041930,O95707
NONHSAT041930,P01189
NONHSAT041930,P01344
NONHSAT041930,P04150
NONHSAT041930,P04637
NONHSAT041930,P05455
NONHSAT041930,P07910
NONHSAT041930,P09132
NONHSAT041930,P14210
NONHSAT041930,P14859
NONHSAT041930,P23246
NONHSAT041930,P35453
NONHSAT041930,P55899
NONHSAT041930,P61011
NONHSAT041930,P62140
NONHSAT041930,P78345
NONHSAT041930,P84243
NONHSAT041930,Q01844
NONHSAT041930,Q13285
NONHSAT041930,Q13952
NONHSAT041930,Q15233
NONHSAT041930,Q15287
NONHSAT041930,Q15910
NONHSAT041930,Q4G0J3
NONHSAT041930,Q8IUX4
NONHSAT041930,Q8IYB3
NONHSAT041930,Q8WXF1
NONHSAT041930,Q92994
NONHSAT041930,Q96BK5
NONHSAT041930,Q96PU8
NONHSAT041930,Q99575
NONHSAT041930,Q9H633
NONHSAT041930,Q9HCE1
NONHSAT041930,Q9HCJ0
NONHSAT041930,Q9UKL0
NONHSAT041930,Q9UPQ9
NONHSAT041930,P56178
NONHSAT041930,P08151
NONHSAT041930,Q9H9S0
NONHSAT041930,Q99988
NONHSAT041930,P25490
NONHSAT041930,P49711
NONHSAT041930,P31260
NONHSAT041930,Q00839
NONHSAT041930,P49913
NONHSAT041930,Q15465
NONHSAT041930,P48431
NONHSAT041930,O43184
NONHSAT041930,Q7RTS3
NONHSAT041930,P78509
NONHSAT042032,O15042
NONHSAT042032,O60306
NONHSAT042032,O60341
NONHSAT042032,O95707
NONHSAT042032,P01189
NONHSAT042032,P01344
NONHSAT042032,P04150
NONHSAT042032,P04637
NONHSAT042032,P05455
NONHSAT042032,P07910
NONHSAT042032,P09132
NONHSAT042032,P14210
NONHSAT042032,P14859
NONHSAT042032,P23246
NONHSAT042032,P35453
NONHSAT042032,P55899
NONHSAT042032,P61011
NONHSAT042032,P62140
NONHSAT042032,P78345
NONHSAT042032,P84243
NONHSAT042032,Q01844
NONHSAT042032,Q13285
NONHSAT042032,Q13952
NONHSAT042032,Q15233
NONHSAT042032,Q15287
NONHSAT042032,Q15910
NONHSAT042032,Q4G0J3
NONHSAT042032,Q8IUX4
NONHSAT042032,Q8IYB3
NONHSAT042032,Q8WXF1
NONHSAT042032,Q92994
NONHSAT042032,Q96BK5
NONHSAT042032,Q96PU8
NONHSAT042032,Q99575
NONHSAT042032,Q9H633
NONHSAT042032,Q9HCE1
NONHSAT042032,Q9HCJ0
NONHSAT042032,Q9UKL0
NONHSAT042032,Q9UPQ9
NONHSAT042032,P56178
NONHSAT042032,P08151
NONHSAT042032,Q9H9S0
NONHSAT042032,Q99988
NONHSAT042032,P25490
NONHSAT042032,P49711
NONHSAT042032,P31260
NONHSAT042032,Q00839
NONHSAT042032,P49913
NONHSAT042032,Q15465
NONHSAT042032,P48431
NONHSAT042032,O43184
NONHSAT042032,Q7RTS3
NONHSAT042032,P78509
NONHSAT042161,O15042
NONHSAT042161,O60306
NONHSAT042161,O60341
NONHSAT042161,O95707
NONHSAT042161,P01189
NONHSAT042161,P01344
NONHSAT042161,P04150
NONHSAT042161,P04637
NONHSAT042161,P05455
NONHSAT042161,P07910
NONHSAT042161,P09132
NONHSAT042161,P14210
NONHSAT042161,P14859
NONHSAT042161,P23246
NONHSAT042161,P35453
NONHSAT042161,P55899
NONHSAT042161,P61011
NONHSAT042161,P62140
NONHSAT042161,P78345
NONHSAT042161,P84243
NONHSAT042161,Q01844
NONHSAT042161,Q13285
NONHSAT042161,Q13952
NONHSAT042161,Q15233
NONHSAT042161,Q15287
NONHSAT042161,Q15910
NONHSAT042161,Q4G0J3
NONHSAT042161,Q8IUX4
NONHSAT042161,Q8IYB3
NONHSAT042161,Q8WXF1
NONHSAT042161,Q92994
NONHSAT042161,Q96BK5
NONHSAT042161,Q96PU8
NONHSAT042161,Q99575
NONHSAT042161,Q9H633
NONHSAT042161,Q9HCE1
NONHSAT042161,Q9HCJ0
NONHSAT042161,Q9UKL0
NONHSAT042161,Q9UPQ9
NONHSAT042161,P56178
NONHSAT042161,P08151
NONHSAT042161,Q9H9S0
NONHSAT042161,Q99988
NONHSAT042161,P25490
NONHSAT042161,P49711
NONHSAT042161,P31260
NONHSAT042161,Q00839
NONHSAT042161,P49913
NONHSAT042161,Q15465
NONHSAT042161,P48431
NONHSAT042161,O43184
NONHSAT042161,Q7RTS3
NONHSAT042161,P78509
NONHSAT042257,O15042
NONHSAT042257,O60306
NONHSAT042257,O60341
NONHSAT042257,O95707
NONHSAT042257,P01189
NONHSAT042257,P01344
NONHSAT042257,P04150
NONHSAT042257,P04637
NONHSAT042257,P05455
NONHSAT042257,P07910
NONHSAT042257,P09132
NONHSAT042257,P14210
NONHSAT042257,P14859
NONHSAT042257,P23246
NONHSAT042257,P35453
NONHSAT042257,P55899
NONHSAT042257,P61011
NONHSAT042257,P62140
NONHSAT042257,P78345
NONHSAT042257,P84243
NONHSAT042257,Q01844
NONHSAT042257,Q13285
NONHSAT042257,Q13952
NONHSAT042257,Q15233
NONHSAT042257,Q15287
NONHSAT042257,Q15910
NONHSAT042257,Q4G0J3
NONHSAT042257,Q8IUX4
NONHSAT042257,Q8IYB3
NONHSAT042257,Q8WXF1
NONHSAT042257,Q92994
NONHSAT042257,Q96BK5
NONHSAT042257,Q96PU8
NONHSAT042257,Q99575
NONHSAT042257,Q9H633
NONHSAT042257,Q9HCE1
NONHSAT042257,Q9HCJ0
NONHSAT042257,Q9UKL0
NONHSAT042257,Q9UPQ9
NONHSAT042257,P56178
NONHSAT042257,P08151
NONHSAT042257,Q9H9S0
NONHSAT042257,Q99988
NONHSAT042257,P25490
NONHSAT042257,P49711
NONHSAT042257,P31260
NONHSAT042257,Q00839
NONHSAT042257,P49913
NONHSAT042257,Q15465
NONHSAT042257,P48431
NONHSAT042257,O43184
NONHSAT042257,Q7RTS3
NONHSAT042257,P78509
NONHSAT042264,O15042
NONHSAT042264,O60306
NONHSAT042264,O60341
NONHSAT042264,O95707
NONHSAT042264,P01189
NONHSAT042264,P01344
NONHSAT042264,P04150
NONHSAT042264,P04637
NONHSAT042264,P05455
NONHSAT042264,P07910
NONHSAT042264,P09132
NONHSAT042264,P14210
NONHSAT042264,P14859
NONHSAT042264,P23246
NONHSAT042264,P35453
NONHSAT042264,P55899
NONHSAT042264,P61011
NONHSAT042264,P62140
NONHSAT042264,P78345
NONHSAT042264,P84243
NONHSAT042264,Q01844
NONHSAT042264,Q13285
NONHSAT042264,Q13952
NONHSAT042264,Q15233
NONHSAT042264,Q15287
NONHSAT042264,Q15910
NONHSAT042264,Q4G0J3
NONHSAT042264,Q8IUX4
NONHSAT042264,Q8IYB3
NONHSAT042264,Q8WXF1
NONHSAT042264,Q92994
NONHSAT042264,Q96BK5
NONHSAT042264,Q96PU8
NONHSAT042264,Q99575
NONHSAT042264,Q9H633
NONHSAT042264,Q9HCE1
NONHSAT042264,Q9HCJ0
NONHSAT042264,Q9UKL0
NONHSAT042264,Q9UPQ9
NONHSAT042264,P56178
NONHSAT042264,P08151
NONHSAT042264,Q9H9S0
NONHSAT042264,Q99988
NONHSAT042264,P25490
NONHSAT042264,P49711
NONHSAT042264,P31260
NONHSAT042264,Q00839
NONHSAT042264,P49913
NONHSAT042264,Q15465
NONHSAT042264,P48431
NONHSAT042264,O43184
NONHSAT042264,Q7RTS3
NONHSAT042264,P78509
NONHSAT042324,O15042
NONHSAT042324,O60306
NONHSAT042324,O60341
NONHSAT042324,O95707
NONHSAT042324,P01189
NONHSAT042324,P01344
NONHSAT042324,P04150
NONHSAT042324,P04637
NONHSAT042324,P05455
NONHSAT042324,P07910
NONHSAT042324,P09132
NONHSAT042324,P14210
NONHSAT042324,P14859
NONHSAT042324,P23246
NONHSAT042324,P35453
NONHSAT042324,P55899
NONHSAT042324,P61011
NONHSAT042324,P62140
NONHSAT042324,P78345
NONHSAT042324,P84243
NONHSAT042324,Q01844
NONHSAT042324,Q13285
NONHSAT042324,Q13952
NONHSAT042324,Q15233
NONHSAT042324,Q15287
NONHSAT042324,Q15910
NONHSAT042324,Q4G0J3
NONHSAT042324,Q8IUX4
NONHSAT042324,Q8IYB3
NONHSAT042324,Q8WXF1
NONHSAT042324,Q92994
NONHSAT042324,Q96BK5
NONHSAT042324,Q96PU8
NONHSAT042324,Q99575
NONHSAT042324,Q9H633
NONHSAT042324,Q9HCE1
NONHSAT042324,Q9HCJ0
NONHSAT042324,Q9UKL0
NONHSAT042324,Q9UPQ9
NONHSAT042324,P56178
NONHSAT042324,P08151
NONHSAT042324,Q9H9S0
NONHSAT042324,Q99988
NONHSAT042324,P25490
NONHSAT042324,P49711
NONHSAT042324,P31260
NONHSAT042324,Q00839
NONHSAT042324,P49913
NONHSAT042324,Q15465
NONHSAT042324,P48431
NONHSAT042324,O43184
NONHSAT042324,Q7RTS3
NONHSAT042324,P78509
NONHSAT042406,O15042
NONHSAT042406,O60306
NONHSAT042406,O60341
NONHSAT042406,O95707
NONHSAT042406,P01189
NONHSAT042406,P01344
NONHSAT042406,P04150
NONHSAT042406,P04637
NONHSAT042406,P05455
NONHSAT042406,P07910
NONHSAT042406,P09132
NONHSAT042406,P14210
NONHSAT042406,P14859
NONHSAT042406,P23246
NONHSAT042406,P35453
NONHSAT042406,P55899
NONHSAT042406,P61011
NONHSAT042406,P62140
NONHSAT042406,P78345
NONHSAT042406,P84243
NONHSAT042406,Q01844
NONHSAT042406,Q13285
NONHSAT042406,Q13952
NONHSAT042406,Q15233
NONHSAT042406,Q15287
NONHSAT042406,Q15910
NONHSAT042406,Q4G0J3
NONHSAT042406,Q8IUX4
NONHSAT042406,Q8IYB3
NONHSAT042406,Q8WXF1
NONHSAT042406,Q92994
NONHSAT042406,Q96BK5
NONHSAT042406,Q96PU8
NONHSAT042406,Q99575
NONHSAT042406,Q9H633
NONHSAT042406,Q9HCE1
NONHSAT042406,Q9HCJ0
NONHSAT042406,Q9UKL0
NONHSAT042406,Q9UPQ9
NONHSAT042406,P56178
NONHSAT042406,P08151
NONHSAT042406,Q9H9S0
NONHSAT042406,Q99988
NONHSAT042406,P25490
NONHSAT042406,P49711
NONHSAT042406,P31260
NONHSAT042406,Q00839
NONHSAT042406,P49913
NONHSAT042406,Q15465
NONHSAT042406,P48431
NONHSAT042406,O43184
NONHSAT042406,Q7RTS3
NONHSAT042406,P78509
NONHSAT042411,O15042
NONHSAT042411,O60306
NONHSAT042411,O60341
NONHSAT042411,O95707
NONHSAT042411,P01189
NONHSAT042411,P01344
NONHSAT042411,P04150
NONHSAT042411,P04637
NONHSAT042411,P05455
NONHSAT042411,P07910
NONHSAT042411,P09132
NONHSAT042411,P14210
NONHSAT042411,P14859
NONHSAT042411,P23246
NONHSAT042411,P35453
NONHSAT042411,P55899
NONHSAT042411,P61011
NONHSAT042411,P62140
NONHSAT042411,P78345
NONHSAT042411,P84243
NONHSAT042411,Q01844
NONHSAT042411,Q13285
NONHSAT042411,Q13952
NONHSAT042411,Q15233
NONHSAT042411,Q15287
NONHSAT042411,Q15910
NONHSAT042411,Q4G0J3
NONHSAT042411,Q8IUX4
NONHSAT042411,Q8IYB3
NONHSAT042411,Q8WXF1
NONHSAT042411,Q92994
NONHSAT042411,Q96BK5
NONHSAT042411,Q96PU8
NONHSAT042411,Q99575
NONHSAT042411,Q9H633
NONHSAT042411,Q9HCE1
NONHSAT042411,Q9HCJ0
NONHSAT042411,Q9UKL0
NONHSAT042411,Q9UPQ9
NONHSAT042411,P56178
NONHSAT042411,P08151
NONHSAT042411,Q9H9S0
NONHSAT042411,Q99988
NONHSAT042411,P25490
NONHSAT042411,P49711
NONHSAT042411,P31260
NONHSAT042411,Q00839
NONHSAT042411,P49913
NONHSAT042411,Q15465
NONHSAT042411,P48431
NONHSAT042411,O43184
NONHSAT042411,Q7RTS3
NONHSAT042411,P78509
NONHSAT042412,O15042
NONHSAT042412,O60306
NONHSAT042412,O60341
NONHSAT042412,O95707
NONHSAT042412,P01189
NONHSAT042412,P01344
NONHSAT042412,P04150
NONHSAT042412,P04637
NONHSAT042412,P05455
NONHSAT042412,P07910
NONHSAT042412,P09132
NONHSAT042412,P14210
NONHSAT042412,P14859
NONHSAT042412,P23246
NONHSAT042412,P35453
NONHSAT042412,P55899
NONHSAT042412,P61011
NONHSAT042412,P62140
NONHSAT042412,P78345
NONHSAT042412,P84243
NONHSAT042412,Q01844
NONHSAT042412,Q13285
NONHSAT042412,Q13952
NONHSAT042412,Q15233
NONHSAT042412,Q15287
NONHSAT042412,Q15910
NONHSAT042412,Q4G0J3
NONHSAT042412,Q8IUX4
NONHSAT042412,Q8IYB3
NONHSAT042412,Q8WXF1
NONHSAT042412,Q92994
NONHSAT042412,Q96BK5
NONHSAT042412,Q96PU8
NONHSAT042412,Q99575
NONHSAT042412,Q9H633
NONHSAT042412,Q9HCE1
NONHSAT042412,Q9HCJ0
NONHSAT042412,Q9UKL0
NONHSAT042412,Q9UPQ9
NONHSAT042412,P56178
NONHSAT042412,P08151
NONHSAT042412,Q9H9S0
NONHSAT042412,Q99988
NONHSAT042412,P25490
NONHSAT042412,P49711
NONHSAT042412,P31260
NONHSAT042412,Q00839
NONHSAT042412,P49913
NONHSAT042412,Q15465
NONHSAT042412,P48431
NONHSAT042412,O43184
NONHSAT042412,Q7RTS3
NONHSAT042412,P78509
NONHSAT042416,O15042
NONHSAT042416,O60306
NONHSAT042416,O60341
NONHSAT042416,O95707
NONHSAT042416,P01189
NONHSAT042416,P01344
NONHSAT042416,P04150
NONHSAT042416,P04637
NONHSAT042416,P05455
NONHSAT042416,P07910
NONHSAT042416,P09132
NONHSAT042416,P14210
NONHSAT042416,P14859
NONHSAT042416,P23246
NONHSAT042416,P35453
NONHSAT042416,P55899
NONHSAT042416,P61011
NONHSAT042416,P62140
NONHSAT042416,P78345
NONHSAT042416,P84243
NONHSAT042416,Q01844
NONHSAT042416,Q13285
NONHSAT042416,Q13952
NONHSAT042416,Q15233
NONHSAT042416,Q15287
NONHSAT042416,Q15910
NONHSAT042416,Q4G0J3
NONHSAT042416,Q8IUX4
NONHSAT042416,Q8IYB3
NONHSAT042416,Q8WXF1
NONHSAT042416,Q92994
NONHSAT042416,Q96BK5
NONHSAT042416,Q96PU8
NONHSAT042416,Q99575
NONHSAT042416,Q9H633
NONHSAT042416,Q9HCE1
NONHSAT042416,Q9HCJ0
NONHSAT042416,Q9UKL0
NONHSAT042416,Q9UPQ9
NONHSAT042416,P56178
NONHSAT042416,P08151
NONHSAT042416,Q9H9S0
NONHSAT042416,Q99988
NONHSAT042416,P25490
NONHSAT042416,P49711
NONHSAT042416,P31260
NONHSAT042416,Q00839
NONHSAT042416,P49913
NONHSAT042416,Q15465
NONHSAT042416,P48431
NONHSAT042416,O43184
NONHSAT042416,Q7RTS3
NONHSAT042416,P78509
NONHSAT043887,O15042
NONHSAT043887,O60306
NONHSAT043887,O60341
NONHSAT043887,O95707
NONHSAT043887,P01189
NONHSAT043887,P01344
NONHSAT043887,P04150
NONHSAT043887,P04637
NONHSAT043887,P05455
NONHSAT043887,P07910
NONHSAT043887,P09132
NONHSAT043887,P14210
NONHSAT043887,P14859
NONHSAT043887,P23246
NONHSAT043887,P35453
NONHSAT043887,P55899
NONHSAT043887,P61011
NONHSAT043887,P62140
NONHSAT043887,P78345
NONHSAT043887,P84243
NONHSAT043887,Q01844
NONHSAT043887,Q13285
NONHSAT043887,Q13952
NONHSAT043887,Q15233
NONHSAT043887,Q15287
NONHSAT043887,Q15910
NONHSAT043887,Q4G0J3
NONHSAT043887,Q8IUX4
NONHSAT043887,Q8IYB3
NONHSAT043887,Q8WXF1
NONHSAT043887,Q92994
NONHSAT043887,Q96BK5
NONHSAT043887,Q96PU8
NONHSAT043887,Q99575
NONHSAT043887,Q9H633
NONHSAT043887,Q9HCE1
NONHSAT043887,Q9HCJ0
NONHSAT043887,Q9UKL0
NONHSAT043887,Q9UPQ9
NONHSAT043887,P56178
NONHSAT043887,P08151
NONHSAT043887,Q9H9S0
NONHSAT043887,Q99988
NONHSAT043887,P25490
NONHSAT043887,P49711
NONHSAT043887,P31260
NONHSAT043887,Q00839
NONHSAT043887,P49913
NONHSAT043887,Q15465
NONHSAT043887,P48431
NONHSAT043887,O43184
